+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[5]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[0]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[9]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[15]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[1]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[14]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[3]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[8]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[10]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[6]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[11]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[12]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                          music_player/codec_conditioner/current_sample_latch/q_reg[13]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                           music_player/codec_conditioner/current_sample_latch/q_reg[2]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[3]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[4]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[6]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[7]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[8]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[9]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[1]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[2]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[5]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                           music_player/beat_generator/counter/q_reg[0]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[10]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[7]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[11]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[8]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[9]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[4]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[5]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[6]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[2]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[0]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[16]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[17]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[18]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[19]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[1]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                  music_player/note_player/sine_read/state_reg/q_reg[3]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[21]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[12]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[13]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[14]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[15]/CE|
|                  clkout0 |       clk_out1_clk_wiz_0 |                                                 music_player/note_player/sine_read/state_reg/q_reg[20]/CE|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
